ligand_pose	gauss1	gauss2	repulsion	hydrophobic	non_dir_h_bond	num_tors_div
ligand_pose_0	-1.7902	-3.9728	10.0889	-0.7356	-1.7623	0.0
ligand_pose_1	-1.7333	-3.4363	5.7218	-0.597	-1.5629	0.0
ligand_pose_2	-2.1219	-3.9547	9.4353	-0.7096	-1.3577	0.0
ligand_pose_3	-1.9229	-3.5766	5.5219	-0.6178	-0.6551	0.0
ligand_pose_4	-1.8754	-3.5565	6.8159	-0.6028	-1.749	0.0
ligand_pose_5	-2.1346	-3.9288	9.3844	-0.7105	-1.6152	0.0
ligand_pose_6	-1.961	-3.5447	5.9723	-0.6178	-0.7498	0.0
ligand_pose_7	-2.0222	-3.6873	7.6302	-0.6311	-1.6361	0.0
ligand_pose_8	-2.0124	-3.5442	5.4059	-0.6031	-1.491	0.0
ligand_pose_9	-1.8863	-3.9593	9.2955	-0.7348	-1.6414	0.0
ligand_pose_10	-2.0297	-3.8454	7.4709	-0.7102	-1.6994	0.0
ligand_pose_11	-1.8084	-3.4276	4.388	-0.5972	-1.5996	0.0
ligand_pose_12	-1.9644	-4.0399	8.2603	-0.6656	-0.4264	0.0
ligand_pose_13	-1.9532	-3.9577	7.5094	-0.6822	-0.9345	0.0
ligand_pose_14	-1.7188	-3.5817	6.3422	-0.5904	-1.25	0.0
ligand_pose_15	-1.9234	-4.0424	8.6092	-0.6659	-0.4186	0.0
ligand_pose_16	-1.8031	-3.634	12.3713	-0.6436	-1.9257	0.0
ligand_pose_17	-1.8921	-3.4968	8.1497	-0.6178	-1.5833	0.0
ligand_pose_18	-2.1118	-3.8537	10.1027	-0.7109	-1.928	0.0
ligand_pose_19	-1.8279	-3.492	6.9014	-0.6	-2.13	0.0
ligand_pose_20	-1.8793	-4.0186	9.6051	-0.6557	-1.0241	0.0
ligand_pose_21	-2.1255	-3.8937	9.8826	-0.7113	-1.8691	0.0
ligand_pose_22	-1.9094	-3.5124	5.3553	-0.6013	-2.0672	0.0
ligand_pose_23	-1.8268	-3.6827	6.4636	-0.6436	-0.2265	0.0
