ligand_pose	Vdw
ligand_pose_0	1705242194.2155
ligand_pose_1	102787.1825
ligand_pose_2	86202.9194
ligand_pose_3	327135381.4616
ligand_pose_4	58434894.304
ligand_pose_5	141959.2686
ligand_pose_6	391623.1385
ligand_pose_7	995663.7102
ligand_pose_8	19278114.8969
ligand_pose_9	103796791.0674
ligand_pose_10	9261140.9602
ligand_pose_11	130207.9577
ligand_pose_12	10328622.8058
ligand_pose_13	4729640.4306
ligand_pose_14	15238.2152
ligand_pose_15	7938661.56
ligand_pose_16	330176.1313
ligand_pose_17	22545.6926
ligand_pose_18	381599.6724
ligand_pose_19	1622424.4133
ligand_pose_20	7855735.7775
ligand_pose_21	89366.1499
ligand_pose_22	108300240.4909
ligand_pose_23	7037180.4113
ligand_pose_24	31698001.3711
ligand_pose_25	347109.9465
ligand_pose_26	89270818.7923
ligand_pose_27	2693964.2818
ligand_pose_28	1427513.9378
ligand_pose_29	940964.4524
ligand_pose_30	13597.2421
ligand_pose_31	65580.0208
ligand_pose_32	1042.7442
ligand_pose_33	48896.9594
ligand_pose_34	4584128.1691
ligand_pose_35	1828625457.216
ligand_pose_36	226674.7307
ligand_pose_37	2592645.4987
ligand_pose_38	1043301.8112
ligand_pose_39	27979.9399
ligand_pose_40	342731.0724
ligand_pose_41	3831.6097
ligand_pose_42	179420.987
ligand_pose_43	491581.5082
ligand_pose_44	11283148576.2592
ligand_pose_45	2100509.4402
ligand_pose_46	75532.1531
ligand_pose_47	9734.4536
ligand_pose_48	1935400.5285
ligand_pose_49	21996.8429
ligand_pose_50	11066.8367
ligand_pose_51	29573507.8727
ligand_pose_52	30615.3715
ligand_pose_53	9933.69
ligand_pose_54	138951.7701
ligand_pose_55	48666.5637
ligand_pose_56	12821.6407
ligand_pose_57	4748633.0984
ligand_pose_58	5846207.5985
ligand_pose_59	611995573.1436
ligand_pose_60	3521838.9225
ligand_pose_61	217182.6456
ligand_pose_62	30427.8072
ligand_pose_63	118192.4617
ligand_pose_64	158737.6611
ligand_pose_65	1817937.3639
ligand_pose_66	15616.5295
ligand_pose_67	4678.808
ligand_pose_68	561087.0454
ligand_pose_69	860665990.7082
ligand_pose_70	1987984.9492
ligand_pose_71	269727.7995
ligand_pose_72	8410.0275
ligand_pose_73	16279.5631
ligand_pose_74	74384.7759
ligand_pose_75	2692736.7831
ligand_pose_76	909.3728
ligand_pose_77	1194.7018
ligand_pose_78	24099038949.1654
ligand_pose_79	7343622.867
ligand_pose_80	3490606.8063
ligand_pose_81	61189.2633
ligand_pose_82	278994.8392
ligand_pose_83	9803.6961
ligand_pose_84	11877.0078
ligand_pose_85	37405720.1553
ligand_pose_86	2925440538.7962
ligand_pose_87	2469.9578
ligand_pose_88	1269.5751
ligand_pose_89	1314395.859
ligand_pose_90	103783.7827
ligand_pose_91	1491.8753
ligand_pose_92	6862589.5794
ligand_pose_93	8503176.0045
ligand_pose_94	824395.0455
ligand_pose_95	222563.9163
ligand_pose_96	41066.6642
ligand_pose_97	55189.347
ligand_pose_98	448728.2705
ligand_pose_99	4828055.0072
ligand_pose_100	7457.0843
ligand_pose_101	1944.4331
ligand_pose_102	189497.1473
ligand_pose_103	17271.2836
ligand_pose_104	14525212.5854
ligand_pose_105	2252678.0043
ligand_pose_106	151034.4909
ligand_pose_107	4614.6679
ligand_pose_108	6863.3756
ligand_pose_109	5325814.8927
ligand_pose_110	31574531.5173
ligand_pose_111	11954.3795
ligand_pose_112	638201.2263
ligand_pose_113	66779187.0004
ligand_pose_114	169232.8525
ligand_pose_115	35632337.7011
ligand_pose_116	150379.1964
ligand_pose_117	619532625309.0088
ligand_pose_118	2174455829475.319
ligand_pose_119	41657975138.4811
ligand_pose_120	3124452.0807
ligand_pose_121	222206.1132
ligand_pose_122	20215.9618
ligand_pose_123	159334.287
ligand_pose_124	3736596.2698
ligand_pose_125	534548.4987
ligand_pose_126	193595.7643
ligand_pose_127	18539.3134
ligand_pose_128	25401455.0655
ligand_pose_129	27382.6337
ligand_pose_130	145847696.8178
ligand_pose_131	2924996277.5927
ligand_pose_132	271665.8203
ligand_pose_133	87649.2268
ligand_pose_134	10056846.2774
ligand_pose_135	155021670.8206
ligand_pose_136	4796639.4132
ligand_pose_137	43559.6551
ligand_pose_138	1354.7089
ligand_pose_139	2101662.9741
ligand_pose_140	41884741.1822
ligand_pose_141	461531.5896
ligand_pose_142	41119.7414
ligand_pose_143	4954558.2713
ligand_pose_144	2612161320.5446
ligand_pose_145	452612231.8541
ligand_pose_146	63306.5436
ligand_pose_147	1571.184
ligand_pose_148	4477010.1552
ligand_pose_149	13994505.4492
ligand_pose_150	29279.5245
ligand_pose_151	86690.7312
ligand_pose_152	8594.3923
ligand_pose_153	78074.0036
ligand_pose_154	1714.6845
ligand_pose_155	15513.6908
ligand_pose_156	17219.4371
ligand_pose_157	196808.7349
ligand_pose_158	4426.7961
ligand_pose_159	9789.0215
ligand_pose_160	1174528.8245
ligand_pose_161	1044627188.4714
ligand_pose_162	1508.8809
ligand_pose_163	393.7866
ligand_pose_164	48802179890.4832
ligand_pose_165	116398.0625
ligand_pose_166	80689.9957
ligand_pose_167	755713.4315
ligand_pose_168	815987984017.9982
ligand_pose_169	23541.2336
ligand_pose_170	1943043.5357
ligand_pose_171	179322.6143
ligand_pose_172	2267.8156
ligand_pose_173	5167.7889
ligand_pose_174	27395.9857
ligand_pose_175	2196439.7577
ligand_pose_176	252460002.1807
ligand_pose_177	2854.2574
ligand_pose_178	-211.104
ligand_pose_179	10715341.8462
ligand_pose_180	1093049.7911
ligand_pose_181	1969.3376
ligand_pose_182	11866.1704
ligand_pose_183	55302.0199
ligand_pose_184	280151.1481
ligand_pose_185	1031319.563
ligand_pose_186	4618.7641
ligand_pose_187	554.2886
ligand_pose_188	4924978.0043
ligand_pose_189	213388.1274
ligand_pose_190	312977.7874
ligand_pose_191	108654.1864
ligand_pose_192	39380.7793
ligand_pose_193	1194276.1567
ligand_pose_194	1045428643.3195
ligand_pose_195	4983.3791
ligand_pose_196	684.1243
ligand_pose_197	362456.504
ligand_pose_198	81211.947
ligand_pose_199	2867170.926
ligand_pose_200	46210.2304
ligand_pose_201	21457.5264
ligand_pose_202	2171392.171
ligand_pose_203	179680031.9961
ligand_pose_204	1800.5658
ligand_pose_205	-390.6062
ligand_pose_206	17976.0903
ligand_pose_207	2795.5067
ligand_pose_208	1749151.6975
ligand_pose_209	36229.6625
ligand_pose_210	1237008.9723
ligand_pose_211	2946297.9077
ligand_pose_212	233819.2451
ligand_pose_213	30021.5854
ligand_pose_214	11437.2855
ligand_pose_215	21133.7021
ligand_pose_216	1321.3503
ligand_pose_217	11274.6674
ligand_pose_218	89186.9637
ligand_pose_219	3298599.2029
ligand_pose_220	3228.1213
ligand_pose_221	429.8595
ligand_pose_222	89142773379.6669
ligand_pose_223	2928529.301
ligand_pose_224	28708.0472
ligand_pose_225	1080.9854
ligand_pose_226	2495475.5297
ligand_pose_227	38690.9805
ligand_pose_228	869.179
ligand_pose_229	590331765.6758
ligand_pose_230	30522.447
ligand_pose_231	8926.8667
ligand_pose_232	81791.2722
ligand_pose_233	53591.2899
ligand_pose_234	290874.373
ligand_pose_235	4414846.2579
ligand_pose_236	2945.7738
ligand_pose_237	28179.8722
ligand_pose_238	13128.6446
ligand_pose_239	213303.3931
ligand_pose_240	870401.1339
ligand_pose_241	33790.2015
ligand_pose_242	473428.6088
ligand_pose_243	43128.7115
ligand_pose_244	642440122.2102
ligand_pose_245	120933258281.7192
ligand_pose_246	432921.9762
ligand_pose_247	18501102.9606
ligand_pose_248	4420227083.7463
ligand_pose_249	97273722.4304
ligand_pose_250	245080.8097
ligand_pose_251	1454962.4852
ligand_pose_252	8867.668
ligand_pose_253	12129746.5031
ligand_pose_254	150432312.7336
ligand_pose_255	3476674.9738
ligand_pose_256	726276.7204
ligand_pose_257	4325737.9552
ligand_pose_258	99920974.2547
ligand_pose_259	6522515.8275
ligand_pose_260	39730.0877
ligand_pose_261	239.1636
ligand_pose_262	39377.2008
ligand_pose_263	8002.7022
ligand_pose_264	745050.8419
ligand_pose_265	13776.326
ligand_pose_266	688.5992
ligand_pose_267	564439545.7549
ligand_pose_268	1722167673.7078
ligand_pose_269	2910.8791
ligand_pose_270	95821.3063
ligand_pose_271	3374061.04
ligand_pose_272	6313384.4114
ligand_pose_273	1051193.1811
ligand_pose_274	21045.9594
ligand_pose_275	403.4723
ligand_pose_276	30613.907
ligand_pose_277	585195.5973
ligand_pose_278	28434.8637
ligand_pose_279	3964.2368
ligand_pose_280	5181.7466
ligand_pose_281	12093.4528
ligand_pose_282	1052326.7644
ligand_pose_283	1681973250.6599
ligand_pose_284	4151.8174
ligand_pose_285	-1.0375
ligand_pose_286	607922199.0598
ligand_pose_287	745075.9356
ligand_pose_288	841.96
ligand_pose_289	3159.5578
ligand_pose_290	77982.2343
